61200,9.1187,3.7688,3.3,1.05,1,9.1187,2.05,7.0687,76.521,75.901,75.918,76.097,76.098,76.119,76.105,75.979,547.12,226.13,198,63,60,547.12,123,424.12,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64800,11.2,4.05,4,1.35,1.8,11.2,3.15,8.05,76.945,76.089,76.091,76.313,76.304,76.356,76.324,76.178,672,243,240,81,108,672,189,483,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68400,10.361,2.6746,3.7364,1.35,2.6,10.361,3.95,6.411,80.564,79.896,79.861,79.995,79.967,80.054,80.007,79.938,621.66,160.48,224.18,81,156,621.66,237,384.66,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72000,8.45,1.2,3.2,1.05,3,8.45,4.05,4.4,83.523,83.106,83.057,83.116,83.072,83.173,83.123,83.115,507,72,192,63,180,507,243,264,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75600,8.0943,1.0341,2.5102,0.75,3.8,8.0943,4.55,3.5443,81.264,80.896,80.866,80.876,80.8,80.941,80.88,80.903,485.66,62.046,150.61,45,228,485.66,273,212.66,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79200,5.9455,0.93375,1.5618,0.45,3,5.9455,3.45,2.4955,75.827,75.619,75.609,75.607,75.557,75.645,75.608,75.625,356.73,56.025,93.708,27,180,356.73,207,149.73,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82800,3.15,0.9,0.4,0.45,1.4,3.15,1.85,1.3,63.753,63.685,63.689,63.683,63.673,63.697,63.685,63.691,189,54,24,27,84,189,111,78,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86400,2.45,0.75,0.4,0.3,1,2.45,1.3,1.15,67.885,67.841,67.844,67.843,67.837,67.85,67.844,67.845,147,45,24,18,60,147,78,69,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.8,0.75,0.4,0.45,0.2,1.8,0.65,1.15,69.363,69.334,69.337,69.34,69.341,69.343,69.341,69.338,108,45,24,27,12,108,39,69,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,1.8557,0.6399,0.4,0.51165,0.3042,1.8557,0.81585,1.0399,78.711,78.683,78.685,78.685,78.686,78.69,78.687,78.686,111.34,38.394,24,30.699,18.252,111.34,48.951,62.394,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1.9712,0.54375,0.4,0.58305,0.4444,1.9712,1.0274,0.94375,83.407,83.378,83.379,83.377,83.378,83.383,83.379,83.38,118.27,32.625,24,34.983,26.664,118.27,61.647,56.625,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10800,2.1512,0.4758,0.4,0.663,0.6124,2.1512,1.2754,0.8758,84.716,84.683,84.684,84.679,84.679,84.688,84.682,84.685,129.07,28.548,24,39.78,36.744,129.07,76.524,52.548,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14400,2.4,0.45,0.4,0.75,0.8,2.4,1.55,0.85,83.724,83.686,83.687,83.678,83.678,83.691,83.682,83.688,144,27,24,45,48,144,93,51,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18000,3.2989,0.45,1,0.8355,1.0134,3.2989,1.8489,1.45,81.403,81.333,81.328,81.326,81.324,81.342,81.331,81.335,197.93,27,60,50.13,60.804,197.93,110.93,87,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21600,4.2499,0.45,1.6,0.92535,1.2746,4.2499,2.1999,2.05,78.74,78.627,78.612,78.62,78.616,78.642,78.626,78.628,255,27,96,55.521,76.476,255,132,123,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25200,5.2901,0.45,2.2,1.0401,1.6,5.2901,2.6401,2.65,76.282,76.112,76.084,76.106,76.097,76.136,76.113,76.113,317.41,27,132,62.406,96,317.41,158.41,159,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28800,6.3892,0.45,2.6,1.2,2.1392,6.3892,3.3392,3.05,74.328,74.089,74.051,74.076,74.058,74.12,74.085,74.09,383.35,27,156,72,128.35,383.35,200.35,183,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32400,8.4595,1.1111,2.8,1.6731,2.8754,8.4595,4.5485,3.911,73.243,72.838,72.801,72.814,72.784,72.893,72.831,72.846,507.57,66.663,168,100.39,172.52,507.57,272.91,234.66,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36000,11.066,2.3389,2.8,2.3532,3.5738,11.066,5.927,5.1389,77.312,76.626,76.614,76.603,76.564,76.736,76.635,76.659,663.96,140.34,168,141.19,214.43,663.96,355.62,308.34,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39600,13.3,3,3.6,2.7,4,13.3,6.7,6.6,83.888,82.905,82.884,82.91,82.865,83.079,82.952,82.956,798,180,216,162,240,798,402,396,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43200,13.609,2.8056,4,2.606,4.1978,13.609,6.8037,6.8056,86.829,85.808,85.766,85.814,85.758,85.984,85.854,85.854,816.56,168.34,240,156.36,251.87,816.56,408.22,408.34,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46800,12.6,2.4444,3.4,2.4118,4.3434,12.6,6.7552,5.8444,84.948,84.083,84.053,84.053,83.986,84.216,84.088,84.118,755.98,146.66,204,144.71,260.6,755.98,405.31,350.66,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50400,11.9,2.25,3,2.25,4.4,11.9,6.65,5.25,80.346,79.577,79.555,79.532,79.458,79.687,79.563,79.607,714,135,180,135,264,714,399,315,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54000,11.436,2.5313,2.8,2.1712,3.9334,11.436,6.1047,5.3312,76.698,75.965,75.958,75.951,75.894,76.085,75.979,76.003,686.15,151.88,168,130.27,236,686.15,366.28,319.87,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57600,10.733,3.15,2.4,2.1167,3.0666,10.733,5.1832,5.55,75.632,74.942,74.964,74.982,74.955,75.087,75.009,74.998,643.99,189,144,127,184,643.99,310.99,333,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61200,11.023,3.7688,2.6,2.0538,2.6,11.023,4.6538,6.3688,74.515,73.75,73.789,73.854,73.84,73.943,73.879,73.828,661.35,226.13,156,123.23,156,661.35,279.23,382.13,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64800,11.711,4.05,2.8,1.95,2.9112,11.711,4.8612,6.85,73.831,72.971,73.015,73.099,73.073,73.192,73.122,73.06,702.67,243,168,117,174.67,702.67,291.67,411,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68400,11.146,2.6746,3.4,1.5824,3.4888,11.146,5.0712,6.0747,77.194,76.464,76.441,76.519,76.467,76.61,76.535,76.505,668.75,160.48,204,94.941,209.33,668.75,304.27,364.48,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72000,9,1.2,2.8,1.2,3.8,9,5,4,80.223,79.772,79.736,79.747,79.677,79.83,79.756,79.781,540,72,168,72,228,540,300,240,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75600,6.5129,1.0341,1,1.0493,3.4296,6.5129,4.4788,2.0341,79.144,78.907,78.908,78.861,78.803,78.928,78.868,78.914,390.78,62.046,60,62.955,205.78,390.78,268.73,122.05,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79200,4.912,0.93375,0.6,0.94125,2.437,4.912,3.3783,1.5338,75.136,74.993,74.997,74.966,74.937,75.008,74.972,74.999,294.72,56.025,36,56.475,146.22,294.72,202.7,92.025,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82800,3.2,0.9,0.4,0.9,1,3.2,1.9,1.3,66.211,66.142,66.146,66.136,66.135,66.154,66.141,66.148,192,54,24,54,60,192,114,78,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86400,1.8,0.75,0.4,0.45,0.2,1.8,0.65,1.15,69.363,69.334,69.337,69.34,69.341,69.343,69.341,69.338,108,45,24,27,12,108,39,69,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
