0,1.75,0.75,0.2,0.6,0.2,1.75,0.8,0.95,71.632,71.631,71.631,71.631,71.631,71.631,71.631,71.631,105,45,12,36,12,105,48,57,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,1.6143,0.6399,0.3042,0.366,0.3042,1.6143,0.6702,0.9441,82.378,82.377,82.377,82.378,82.378,82.378,82.378,82.377,96.858,38.394,18.252,21.96,18.252,96.858,40.212,56.646,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1.6621,0.54375,0.4444,0.2295,0.4444,1.6621,0.6739,0.98815,87.886,87.885,87.885,87.886,87.886,87.886,87.886,87.886,99.723,32.625,26.664,13.77,26.664,99.723,40.434,59.289,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10800,1.8663,0.4758,0.6124,0.16575,0.6124,1.8663,0.77815,1.0882,89.537,89.537,89.537,89.537,89.537,89.537,89.537,89.537,111.98,28.548,36.744,9.945,36.744,111.98,46.689,65.292,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14400,2.2,0.45,0.8,0.15,0.8,2.2,0.95,1.25,89.023,89.022,89.022,89.022,89.022,89.022,89.022,89.022,132,27,48,9,48,132,57,75,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18000,2.7295,0.45,1.0134,0.25275,1.0134,2.7295,1.2661,1.4634,87.772,87.77,87.77,87.77,87.77,87.77,87.77,87.77,163.77,27,60.804,15.165,60.804,163.77,75.969,87.804,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21600,3.488,0.45,1.2746,0.48885,1.2746,3.488,1.7635,1.7246,86.646,86.644,86.644,86.644,86.644,86.644,86.644,86.644,209.28,27,76.476,29.331,76.476,209.28,105.81,103.48,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25200,4.4,0.45,1.6,0.75,1.6,4.4,2.35,2.05,83.364,83.361,83.36,83.36,83.36,83.361,83.361,83.361,264,27,96,45,96,264,141,123,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28800,5.7388,0.45,2.1392,1.0104,2.1392,5.7388,3.1496,2.5892,75.948,75.943,75.942,75.943,75.942,75.944,75.943,75.943,344.33,27,128.35,60.624,128.35,344.33,188.98,155.35,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32400,8.1686,1.1111,2.8754,1.3068,2.8754,8.1686,4.1822,3.9864,68.681,68.671,68.67,68.671,68.67,68.672,68.671,68.671,490.12,66.663,172.52,78.408,172.52,490.12,250.93,239.19,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36000,11.111,2.3389,3.5738,1.6247,3.5738,11.111,5.1985,5.9128,64.9,64.881,64.879,64.881,64.88,64.884,64.882,64.881,666.67,140.34,214.43,97.479,214.43,666.67,311.91,354.77,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39600,12.95,3,4,1.95,4,12.95,5.95,7,63.096,63.07,63.069,63.072,63.07,63.075,63.073,63.072,777,180,240,117,240,777,357,420,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
